"",dataset,firts_sum_rocket,DTWD,rocket,minirocket
0,ArticularyWordRecognition,0.933333,0.987,0.733333,0.800000
2,AtrialFibrillation,0.400000,0.200,0.200000,0.133333
3,BasicMotions,0.925000,0.975,0.775000,0.950000
4,CharacterTrajectories,0.979109,0.990,0.947772,0.956825
5,Cricket,0.916667,1.000,0.625000,0.888889
6,EigenWorms,0.671756,0.618,0.824427,0.862595
7,Epilepsy,0.956522,0.964,0.942029,0.927536
8,EthanolConcentration,0.307985,0.323,0.254753,0.486692
9,ERing,0.937037,0.133,0.859259,0.903704
10,FaceDetection,0.536890,0.529,0.550795,0.567253
11,FingerMovements,0.470000,0.530,0.440000,0.550000
12,HandMovementDirection,0.405405,0.231,0.418919,0.405405
13,Handwriting,0.341176,0.607,0.209412,0.251765
14,Heartbeat,0.673171,0.717,0.682927,0.726829
15,JapaneseVowels,0.464865,0.949,0.286486,0.332432
16,Libras,0.677778,0.872,0.638889,0.650000
17,LSST,0.514599,0.551,0.484590,0.518654
18,MotorImagery,0.520000,0.500,0.490000,0.560000
19,NATOPS,0.766667,0.883,0.583333,0.638889
20,PenDigits,0.966838,0.977,NaN,NaN
21,Phoneme,0.220464,0.151,0.191456,0.247363
22,RacketSports,0.763158,0.803,0.684211,0.710526
23,SelfRegulationSCP1,0.764505,0.775,0.784983,0.856655
24,SelfRegulationSCP2,0.516667,0.539,0.527778,0.511111
25,SpokenArabicDigits,0.928149,0.963,0.755343,0.787631
26,StandWalkJump,0.533333,0.200,0.600000,0.60000
27,UWaveGestureLibrary,0.725000,0.903,0.671875,0.70625
