dataset,representation,operation,accuracy,convolution_algorithm,classification_algorithm
ArticularyWordRecognition,RP,sum,0.6033333333333334,,Ridge
ArticularyWordRecognition,RP,sum,0.7133333333333334,Rocket,Ridge
ArticularyWordRecognition,RP,sum,0.3633333333333333,MiniRocket,Ridge
ArticularyWordRecognition,RP,subtraction,0.3133333333333333,,Ridge
ArticularyWordRecognition,RP,subtraction,0.41,Rocket,Ridge
ArticularyWordRecognition,RP,subtraction,0.1966666666666666,MiniRocket,Ridge
ArticularyWordRecognition,RP,dot_product,0.07,,Ridge
ArticularyWordRecognition,RP,dot_product,0.4266666666666667,Rocket,Ridge
ArticularyWordRecognition,RP,dot_product,0.2633333333333333,MiniRocket,Ridge
ArticularyWordRecognition,RP,element_wise,0.25,,Ridge
ArticularyWordRecognition,RP,element_wise,0.2866666666666667,Rocket,Ridge
ArticularyWordRecognition,RP,element_wise,0.17,MiniRocket,Ridge
ArticularyWordRecognition,MTF,sum,0.6066666666666667,,Ridge
ArticularyWordRecognition,MTF,sum,0.7133333333333334,Rocket,Ridge
ArticularyWordRecognition,MTF,sum,0.3666666666666666,MiniRocket,Ridge
ArticularyWordRecognition,MTF,subtraction,0.2966666666666667,,Ridge
ArticularyWordRecognition,MTF,subtraction,0.3733333333333333,Rocket,Ridge
ArticularyWordRecognition,MTF,subtraction,0.1966666666666666,MiniRocket,Ridge
ArticularyWordRecognition,MTF,dot_product,0.0566666666666666,,Ridge
ArticularyWordRecognition,MTF,dot_product,0.4333333333333333,Rocket,Ridge
ArticularyWordRecognition,MTF,dot_product,0.1766666666666666,MiniRocket,Ridge
ArticularyWordRecognition,MTF,element_wise,0.1766666666666666,,Ridge
ArticularyWordRecognition,MTF,element_wise,0.28,Rocket,Ridge
ArticularyWordRecognition,MTF,element_wise,0.15,MiniRocket,Ridge
ArticularyWordRecognition,GASF,sum,0.7066666666666667,,Ridge
ArticularyWordRecognition,GASF,sum,0.7966666666666666,Rocket,Ridge
ArticularyWordRecognition,GASF,sum,0.41,MiniRocket,Ridge
ArticularyWordRecognition,GASF,subtraction,0.34,,Ridge
ArticularyWordRecognition,GASF,subtraction,0.3466666666666667,Rocket,Ridge
ArticularyWordRecognition,GASF,subtraction,0.1833333333333333,MiniRocket,Ridge
ArticularyWordRecognition,GASF,dot_product,0.0466666666666666,,Ridge
ArticularyWordRecognition,GASF,dot_product,0.4366666666666666,Rocket,Ridge
ArticularyWordRecognition,GASF,dot_product,0.2533333333333333,MiniRocket,Ridge
ArticularyWordRecognition,GASF,element_wise,0.6166666666666667,,Ridge
ArticularyWordRecognition,GASF,element_wise,0.5933333333333334,Rocket,Ridge
ArticularyWordRecognition,GASF,element_wise,0.3166666666666666,MiniRocket,Ridge
ArticularyWordRecognition,GADF,sum,0.6233333333333333,,Ridge
ArticularyWordRecognition,GADF,sum,0.83,Rocket,Ridge
ArticularyWordRecognition,GADF,sum,0.5766666666666667,MiniRocket,Ridge
ArticularyWordRecognition,GADF,subtraction,0.4733333333333333,,Ridge
ArticularyWordRecognition,GADF,subtraction,0.63,Rocket,Ridge
ArticularyWordRecognition,GADF,subtraction,0.4,MiniRocket,Ridge
ArticularyWordRecognition,GADF,dot_product,0.02,,Ridge
ArticularyWordRecognition,GADF,dot_product,0.47,Rocket,Ridge
ArticularyWordRecognition,GADF,dot_product,0.26,MiniRocket,Ridge
ArticularyWordRecognition,GADF,element_wise,0.32,,Ridge
ArticularyWordRecognition,GADF,element_wise,0.2933333333333333,Rocket,Ridge
ArticularyWordRecognition,GADF,element_wise,0.2033333333333333,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,sum,0.7933333333333333,,Ridge
ArticularyWordRecognition,FIRTS,sum,0.8466666666666667,Rocket,Ridge
ArticularyWordRecognition,FIRTS,sum,0.7166666666666667,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,subtraction,0.4866666666666667,,Ridge
ArticularyWordRecognition,FIRTS,subtraction,0.5533333333333333,Rocket,Ridge
ArticularyWordRecognition,FIRTS,subtraction,0.36,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,dot_product,0.0866666666666666,,Ridge
ArticularyWordRecognition,FIRTS,dot_product,0.5666666666666667,Rocket,Ridge
ArticularyWordRecognition,FIRTS,dot_product,0.39,MiniRocket,Ridge
ArticularyWordRecognition,FIRTS,element_wise,0.4566666666666666,,Ridge
